probe_axis,ZH,FR,FAS,NLD,UKR,BUL,IND,DEU
altar | pilgrimage->tourism,-0.25232750177383423,-0.2620408535003662,-0.6097317934036255,-0.5517674684524536,-0.47622671723365784,-0.4214799404144287,-0.2482227385044098,-0.27655842900276184
altar | prayer->reason,0.12644436955451965,-0.05538678169250488,-0.27664071321487427,-0.09142017364501953,0.16720637679100037,0.19186820089817047,0.0008876174688339233,0.14239171147346497
altar | ritual->routine,-0.21318013966083527,-0.027809426188468933,-0.32339268922805786,-0.29372790455818176,-0.291515052318573,0.1400633603334427,-0.11832405626773834,0.03956320881843567
altar | sacred->secular,0.1495925784111023,0.130996435880661,0.32938602566719055,0.01619715988636017,0.12004609405994415,-0.1280101239681244,0.20033206045627594,0.24234086275100708
altar | script->image,0.1375408172607422,0.2788282632827759,-0.0826672613620758,0.12513422966003418,-0.017297133803367615,0.017766669392585754,0.07561580836772919,0.081830233335495
altar | taboo->permissive,0.023975282907485962,-0.21813471615314484,-0.12271207571029663,-0.01130107045173645,-0.3847504258155823,-0.33530282974243164,0.08648183941841125,-0.41639429330825806
altar | white->red,0.08420924842357635,0.39243000745773315,0.07593986392021179,0.1835475116968155,0.24228069186210632,0.2428649514913559,0.14432868361473083,0.07685024291276932
ancestor day | ancestor->novelty,0.01079084724187851,0.05519308149814606,0.06865552067756653,0.11623311042785645,0.16899064183235168,0.11876872181892395,0.08699548989534378,0.17577598989009857
ancestor day | certainty->ambiguity,0.4690941572189331,0.2144896537065506,0.5672644376754761,0.16538967192173004,0.17539675533771515,0.43056899309158325,0.2632971704006195,0.30502957105636597
ancestor day | clan->individual,0.16472157835960388,-0.05088110268115997,-0.11882784962654114,0.0924554169178009,0.0750027596950531,0.25719279050827026,0.015386521816253662,0.11142964661121368
ancestor day | conformity->dissent,0.1419621706008911,0.15467572212219238,0.12100321799516678,0.056504204869270325,-0.2156078815460205,0.1943211853504181,0.025946244597434998,-0.03718528151512146
ancestor day | duty->freedom,0.12720328569412231,0.08105239272117615,0.059223469346761703,-0.019806310534477234,0.12326031923294067,0.1957402378320694,0.07051229476928711,-0.07370898127555847
