repr_type,pair,metric,category,n_items,mean,std
embedding_matrix,en_100m__vs__en_ukr_b,jaccard_divergence,social_identity,99,0.48785349540516504,0.3289052263220632
embedding_matrix,en_100m__vs__en_ukr_b,jaccard_divergence,symbols_colors,97,0.6446169811783344,0.2345989682395844
embedding_matrix,en_100m__vs__en_ukr_b,jaccard_divergence,values_norms,101,0.7079801582301953,0.24251439732835833
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,clothing_appearance,100,0.6888858933174737,0.25524364529596294
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,daily_customs,101,0.5643298569374992,0.2953323755345724
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,family_kinship,101,0.6883346510512541,0.2358026675912921
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,festivals_holidays,100,0.7261278439538811,0.1840945398169501
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,food_cuisine,100,0.7644654161147362,0.3245077616300771
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,governance_law,100,0.6839467222790333,0.2211139397615492
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,religion_ritual,101,0.6822584288225372,0.2734370419625897
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,social_identity,99,0.5098442770654824,0.32838752973515745
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,symbols_colors,97,0.6788885749541343,0.23871378566240645
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,values_norms,101,0.7166832443690363,0.2274349398266596
embedding_matrix,en_100m__vs__en_zh_b,jaccard_divergence,clothing_appearance,100,0.7000670320773706,0.22849937018370878
embedding_matrix,en_100m__vs__en_zh_b,jaccard_divergence,daily_customs,101,0.5571479934027935,0.28880888755912876
embedding_matrix,en_100m__vs__en_zh_b,jaccard_divergence,family_kinship,101,0.7058276542716525,0.23186623176420304
embedding_matrix,en_100m__vs__en_zh_b,jaccard_divergence,festivals_holidays,100,0.7150520675990765,0.18754051504581326
embedding_matrix,en_100m__vs__en_zh_b,jaccard_divergence,food_cuisine,100,0.7505618069872475,0.35440106958179846
embedding_matrix,en_100m__vs__en_zh_b,jaccard_divergence,governance_law,100,0.68552941154126,0.22463946066769191
embedding_matrix,en_100m__vs__en_zh_b,jaccard_divergence,religion_ritual,101,0.683571308331498,0.26072354456758884
embedding_matrix,en_100m__vs__en_zh_b,jaccard_divergence,social_identity,99,0.5076259443838913,0.3321261291092549
embedding_matrix,en_100m__vs__en_zh_b,jaccard_divergence,symbols_colors,97,0.6881827588628213,0.25102693014496785
embedding_matrix,en_100m__vs__en_zh_b,jaccard_divergence,values_norms,101,0.7423765586013013,0.22765974821702578
embedding_matrix,en_50m__vs__en_bul_a,jaccard_divergence,clothing_appearance,100,0.6247342799569556,0.2905591714138802
embedding_matrix,en_50m__vs__en_bul_a,jaccard_divergence,daily_customs,101,0.4983138885209204,0.2962228399612039
embedding_matrix,en_50m__vs__en_bul_a,jaccard_divergence,family_kinship,101,0.6092473822697474,0.26323457421021346
embedding_matrix,en_50m__vs__en_bul_a,jaccard_divergence,festivals_holidays,100,0.6494628885495907,0.22091754856376566
embedding_matrix,en_50m__vs__en_bul_a,jaccard_divergence,food_cuisine,100,0.7142461614509408,0.3379841012603718
embedding_matrix,en_50m__vs__en_bul_a,jaccard_divergence,governance_law,100,0.6340328391169308,0.25451666735321526
embedding_matrix,en_50m__vs__en_bul_a,jaccard_divergence,religion_ritual,101,0.64697417670314,0.2761904502598235
embedding_matrix,en_50m__vs__en_bul_a,jaccard_divergence,social_identity,99,0.4748486593791924,0.33919971649482683
embedding_matrix,en_50m__vs__en_bul_a,jaccard_divergence,symbols_colors,97,0.61898641806564,0.25431669373605525
embedding_matrix,en_50m__vs__en_bul_a,jaccard_divergence,values_norms,101,0.7006615402377148,0.2264475435652225
embedding_matrix,en_50m__vs__en_bul_b,jaccard_divergence,clothing_appearance,100,0.6310166926374907,0.29462369315933373
embedding_matrix,en_50m__vs__en_bul_b,jaccard_divergence,daily_customs,101,0.5148185484588591,0.2915630488627205
embedding_matrix,en_50m__vs__en_bul_b,jaccard_divergence,family_kinship,101,0.6294302764587778,0.2534516896691457
embedding_matrix,en_50m__vs__en_bul_b,jaccard_divergence,festivals_holidays,100,0.6692507476753617,0.20361705886748077
embedding_matrix,en_50m__vs__en_bul_b,jaccard_divergence,food_cuisine,100,0.7341613861766128,0.3420551115266859
embedding_matrix,en_50m__vs__en_bul_b,jaccard_divergence,governance_law,100,0.6610632938432702,0.23099300126249014
embedding_matrix,en_50m__vs__en_bul_b,jaccard_divergence,religion_ritual,101,0.6425731613424678,0.28610682849262864
embedding_matrix,en_50m__vs__en_bul_b,jaccard_divergence,social_identity,99,0.49638226364528365,0.3295678121798869
embedding_matrix,en_50m__vs__en_bul_b,jaccard_divergence,symbols_colors,97,0.6252247691709726,0.24988284874623276
embedding_matrix,en_50m__vs__en_bul_b,jaccard_divergence,values_norms,101,0.7343295265247185,0.21115530186578
embedding_matrix,en_50m__vs__en_deu_a,jaccard_divergence,clothing_appearance,100,0.6644365112146047,0.2678379760420201
embedding_matrix,en_50m__vs__en_deu_a,jaccard_divergence,daily_customs,101,0.5072943738907397,0.2938136471725811
embedding_matrix,en_50m__vs__en_deu_a,jaccard_divergence,family_kinship,101,0.6299337649236906,0.2614986986713537
embedding_matrix,en_50m__vs__en_deu_a,jaccard_divergence,festivals_holidays,100,0.6855991177458617,0.20869597089801145
embedding_matrix,en_50m__vs__en_deu_a,jaccard_divergence,food_cuisine,100,0.7276304803442943,0.36308119280631085
embedding_matrix,en_50m__vs__en_deu_a,jaccard_divergence,governance_law,100,0.6461560806250185,0.23766953235668686
embedding_matrix,en_50m__vs__en_deu_a,jaccard_divergence,religion_ritual,101,0.6487027262206807,0.2997811148633038
embedding_matrix,en_50m__vs__en_deu_a,jaccard_divergence,social_identity,99,0.4713855950448484,0.33831172473605725
embedding_matrix,en_50m__vs__en_deu_a,jaccard_divergence,symbols_colors,97,0.6416943739780812,0.2515805972413669
embedding_matrix,en_50m__vs__en_deu_a,jaccard_divergence,values_norms,101,0.6990228728753002,0.23021891686586085
embedding_matrix,en_50m__vs__en_deu_b,jaccard_divergence,clothing_appearance,100,0.6639659998289719,0.27145279266614536
embedding_matrix,en_50m__vs__en_deu_b,jaccard_divergence,daily_customs,101,0.5174985253722861,0.29487865392522467
embedding_matrix,en_50m__vs__en_deu_b,jaccard_divergence,family_kinship,101,0.6415287591570102,0.24808420693109967
embedding_matrix,en_50m__vs__en_deu_b,jaccard_divergence,festivals_holidays,100,0.6575648657336889,0.22380058935257469
embedding_matrix,en_50m__vs__en_deu_b,jaccard_divergence,food_cuisine,100,0.737616623743467,0.3447082263838673
embedding_matrix,en_50m__vs__en_deu_b,jaccard_divergence,governance_law,100,0.6667505744516774,0.2316378960026006
embedding_matrix,en_50m__vs__en_deu_b,jaccard_divergence,religion_ritual,101,0.6580317741337987,0.280846679123476
embedding_matrix,en_50m__vs__en_deu_b,jaccard_divergence,social_identity,99,0.48086484374545074,0.3328638102539196
embedding_matrix,en_50m__vs__en_deu_b,jaccard_divergence,symbols_colors,97,0.6301144085757359,0.24882595738671892
embedding_matrix,en_50m__vs__en_deu_b,jaccard_divergence,values_norms,101,0.7297901673352876,0.2142290576080116
embedding_matrix,en_50m__vs__en_fas_a,jaccard_divergence,clothing_appearance,100,0.6727656730360976,0.2578499203518453
embedding_matrix,en_50m__vs__en_fas_a,jaccard_divergence,daily_customs,101,0.5360124531670902,0.29871628007733164
embedding_matrix,en_50m__vs__en_fas_a,jaccard_divergence,family_kinship,101,0.6623849954201301,0.24214926896115077
embedding_matrix,en_50m__vs__en_fas_a,jaccard_divergence,festivals_holidays,100,0.729844910788183,0.1822567972391508
embedding_matrix,en_50m__vs__en_fas_a,jaccard_divergence,food_cuisine,100,0.7554618916940055,0.34513318445398494
embedding_matrix,en_50m__vs__en_fas_a,jaccard_divergence,governance_law,100,0.6659011042320447,0.24332702718694643
embedding_matrix,en_50m__vs__en_fas_a,jaccard_divergence,religion_ritual,101,0.673039906655456,0.2731964737795472
embedding_matrix,en_50m__vs__en_fas_a,jaccard_divergence,social_identity,99,0.5057773253165343,0.33187927475856194
embedding_matrix,en_50m__vs__en_fas_a,jaccard_divergence,symbols_colors,97,0.6750727041382962,0.23566305889939065
embedding_matrix,en_50m__vs__en_fas_a,jaccard_divergence,values_norms,101,0.735365678031807,0.2191146154054583
embedding_matrix,en_50m__vs__en_fas_b,jaccard_divergence,clothing_appearance,100,0.6648874591367988,0.2673892837641578
embedding_matrix,en_50m__vs__en_fas_b,jaccard_divergence,daily_customs,101,0.5234510801269209,0.2904292180246907
embedding_matrix,en_50m__vs__en_fas_b,jaccard_divergence,family_kinship,101,0.6555725614234674,0.25372529987204695
embedding_matrix,en_50m__vs__en_fas_b,jaccard_divergence,festivals_holidays,100,0.6801387276846359,0.20007785699007305
embedding_matrix,en_50m__vs__en_fas_b,jaccard_divergence,food_cuisine,100,0.7421006605579504,0.33772447620258705
embedding_matrix,en_50m__vs__en_fas_b,jaccard_divergence,governance_law,100,0.673913630675302,0.23193683410181998
embedding_matrix,en_50m__vs__en_fas_b,jaccard_divergence,religion_ritual,101,0.6553945469621646,0.2790655902000272
embedding_matrix,en_50m__vs__en_fas_b,jaccard_divergence,social_identity,99,0.49439065188082565,0.33213103360202717
embedding_matrix,en_50m__vs__en_fas_b,jaccard_divergence,symbols_colors,97,0.6383145978069349,0.2546455537440549
embedding_matrix,en_50m__vs__en_fas_b,jaccard_divergence,values_norms,101,0.7464221827233385,0.20713921298836266
embedding_matrix,en_50m__vs__en_fr_a,jaccard_divergence,clothing_appearance,100,0.6295015733060885,0.29809230687684557
