scope,repr_type,model_a,model_b,normalization,axis_abs_projection_diff_mean,axis_abs_projection_diff_max,axis_signed_projection_diff_mean,axes_used,axes_skipped,neutral_projection_sd_a_mean,neutral_projection_sd_b_mean,cultural_norm_a_mean,cultural_norm_b_mean
final,pre_lmhead_contextual,en_100m,en_fas_a,row_l2,0.15684069141745569,0.9002300500869751,-0.02675525585655123,50,0,,,1.0,1.0
final,pre_lmhead_contextual,en_100m,en_fas_a,neutral_z,0.9239430207014084,8.586380004882812,0.003756140093319118,50,0,2.577757775783539,2.0237588763236998,21.72404670715332,14.548941612243652
final,pre_lmhead_contextual,en_100m,en_nld_a,row_l2,0.1354303892701864,0.8808116316795349,-0.013968539678025992,50,0,,,1.0,1.0
final,pre_lmhead_contextual,en_100m,en_nld_a,neutral_z,0.8880923891067505,9.850040435791016,-0.00890103737823665,50,0,2.5777584886550904,1.9934440875053405,21.724042892456055,16.66997528076172
final,pre_lmhead_contextual,en_100m,en_ukr_a,row_l2,0.16208876334130765,0.8178077936172485,-0.00386613589245826,50,0,,,1.0,1.0
final,pre_lmhead_contextual,en_100m,en_ukr_a,neutral_z,0.90755992770195,7.43408203125,0.051563357934355736,50,0,2.5777572655677794,2.151496810913086,21.724040985107422,16.712753295898438
final,pre_lmhead_contextual,en_100m,en_bul_a,row_l2,0.14928516633808614,0.9181624054908752,-0.014709085925132967,50,0,,,1.0,1.0
final,pre_lmhead_contextual,en_100m,en_bul_a,neutral_z,0.8302982842922211,8.028675079345703,-0.004930514334701002,50,0,2.577757766246796,2.332572317123413,21.724040985107422,16.1546688079834
final,pre_lmhead_contextual,en_100m,en_ind_a,row_l2,0.14154901310801507,0.8483902215957642,-0.016567396972095593,50,0,,,1.0000001192092896,1.0
final,pre_lmhead_contextual,en_100m,en_ind_a,neutral_z,0.901923600435257,7.035246849060059,-0.07284996520727872,50,0,2.577758469581604,2.2962904882431032,21.724050521850586,16.902891159057617
final,pre_lmhead_contextual,en_100m,en_deu_a,row_l2,0.149337178170681,0.9506683945655823,0.0006008790852501988,50,0,,,1.0,1.0
final,pre_lmhead_contextual,en_100m,en_deu_a,neutral_z,0.91776442527771,8.594664573669434,-0.018917879745422396,50,0,2.5777586030960085,2.1332090735435485,21.724044799804688,16.616090774536133
