model_a,model_b,layer,head,axis_abs_projection_diff_mean
en_100m,en_ukr_a,6,11,711.5418383789063
en_100m,en_zh_a,4,0,1248.5850866699218
en_100m,en_zh_a,4,1,883.6907934570313
en_100m,en_zh_a,4,2,708.5154827880859
en_100m,en_zh_a,4,3,815.9815692138671
en_100m,en_zh_a,4,4,753.4334002685547
en_100m,en_zh_a,4,5,1104.3943237304688
en_100m,en_zh_a,4,6,695.6067413330078
en_100m,en_zh_a,4,7,1058.7878491210938
en_100m,en_zh_a,4,8,1170.3536633300782
en_100m,en_zh_a,4,9,749.422232055664
en_100m,en_zh_a,4,10,709.4927008056641
en_100m,en_zh_a,4,11,1103.273773803711
en_100m,en_zh_a,5,0,1318.6526007080079
en_100m,en_zh_a,5,1,899.5544787597656
en_100m,en_zh_a,5,2,737.7620111083984
en_100m,en_zh_a,5,3,827.7418353271485
en_100m,en_zh_a,5,4,778.9752429199219
en_100m,en_zh_a,5,5,1108.8096954345704
en_100m,en_zh_a,5,6,677.2857116699219
en_100m,en_zh_a,5,7,1019.9361834716797
en_100m,en_zh_a,5,8,1118.957108154297
en_100m,en_zh_a,5,9,745.3675238037109
en_100m,en_zh_a,5,10,699.9003186035156
en_100m,en_zh_a,5,11,1131.7439471435546
en_100m,en_zh_a,6,0,1361.1930218505859
en_100m,en_zh_a,6,1,897.9199621582031
en_100m,en_zh_a,6,2,776.3402465820312
en_100m,en_zh_a,6,3,866.0347943115235
en_100m,en_zh_a,6,4,803.5508282470703
en_100m,en_zh_a,6,5,1127.167622680664
en_100m,en_zh_a,6,6,694.5236840820312
en_100m,en_zh_a,6,7,1026.3126354980468
en_100m,en_zh_a,6,8,1145.1417291259766
