scope,repr_type,model_a,model_b,layer,normalization,axis_abs_projection_diff_mean,axis_abs_projection_diff_max,axis_signed_projection_diff_mean,axes_used,axes_skipped,neutral_projection_sd_a_mean,neutral_projection_sd_b_mean,cultural_norm_a_mean,cultural_norm_b_mean
layerwise,hidden_state,en_50m,en_ukr_a,8,neutral_z,0.8104984223842621,8.880767822265625,0.020585086366627366,50,0,604.9812127685547,1092.266368408203,4746.205078125,9959.4248046875
layerwise,hidden_state,en_50m,en_ukr_a,9,row_l2,0.11941693484783172,0.7698837518692017,0.0010923833772540092,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_ukr_a,9,neutral_z,0.7973946726322174,9.453388214111328,0.026706590484827757,50,0,588.2339727783203,1107.2944958496093,4761.77490234375,10207.0888671875
layerwise,hidden_state,en_50m,en_ukr_a,10,row_l2,0.12393926590681076,0.7526932954788208,0.006018791645765305,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_ukr_a,10,neutral_z,0.8031441640853881,9.209312438964844,0.0353387388959527,50,0,597.6625805664063,1181.4778771972656,4917.27685546875,11323.404296875
layerwise,hidden_state,en_50m,en_ukr_a,11,row_l2,0.13428470119833946,0.7352920770645142,0.00993356348015368,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_ukr_a,11,neutral_z,0.8293511217832565,9.397684097290039,0.05647795882076025,50,0,651.4892297363281,1431.3417028808594,5695.62109375,12136.1435546875
layerwise,hidden_state,en_50m,en_ukr_a,12,row_l2,0.15055100612342356,0.7930878400802612,0.019180512940511107,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_ukr_a,12,neutral_z,0.7857955485582352,7.576101303100586,0.04933942651376128,50,0,2.1378121733665467,2.1502414464950563,17.336801528930664,16.7139835357666
layerwise,hidden_state,en_50m,en_bul_a,0,row_l2,0.08496299043297767,0.4607926607131958,-0.0015307877986924722,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_bul_a,0,neutral_z,0.6817667633295059,5.797996520996094,0.017779822163283825,50,0,0.16295629754662513,0.20036212533712386,1.3389455080032349,1.5063374042510986
layerwise,hidden_state,en_50m,en_bul_a,1,row_l2,0.1353237088024616,0.7513396143913269,-0.010712173188803718,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_bul_a,1,neutral_z,0.773015547990799,9.137128829956055,0.007789397174492479,50,0,627.7521099853516,1429.5057165527344,3524.2724609375,7790.630859375
layerwise,hidden_state,en_50m,en_bul_a,2,row_l2,0.12670834973454476,0.7463129162788391,-0.009374602560419588,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_bul_a,2,neutral_z,0.7715093863010406,9.357854843139648,0.006555552016943693,50,0,638.6855108642578,1437.4511486816407,3841.04443359375,8121.658203125
layerwise,hidden_state,en_50m,en_bul_a,3,row_l2,0.1150356237590313,0.7024105787277222,-0.005072311143158004,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_bul_a,3,neutral_z,0.769978255033493,9.361617088317871,0.006076868491072673,50,0,647.326162109375,1442.312626953125,4352.0849609375,8652.3896484375
layerwise,hidden_state,en_50m,en_bul_a,4,row_l2,0.10814958274364471,0.6723774671554565,-0.0018972694035619497,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_bul_a,4,neutral_z,0.770780182480812,9.27515697479248,0.0026518353819847107,50,0,648.8249725341797,1448.5170678710938,4686.2529296875,9208.8583984375
